L 331.5000, 769.0000, 9.9696, 326.5000, 769.0000, 22.8253, 0, 0, 0
L 326.5000, 769.0000, 22.8253, 314.5000, 791.0000, 22.4859, 0, 0, 0
L 314.5000, 791.0000, 22.4859, 323.5000, 810.0000, 23.0014, 0, 0, 0
L 323.5000, 810.0000, 23.0014, 329.5000, 814.0000, 12.0009, 0, 0, 0
L 329.5000, 814.0000, 12.0009, 322.5000, 836.0000, 7.1160, 0, 0, 0
L 322.5000, 836.0000, 7.1160, 302.5000, 853.0000, 11.8111, 0, 0, 0
L 302.5000, 853.0000, 11.8111, 302.5000, 867.0000, 7.5545, 0, 0, 0
L 302.5000, 867.0000, 7.5545, 297.5000, 872.0000, 14.7293, 0, 0, 0
L 297.5000, 872.0000, 14.7293, 299.5000, 875.0000, 7.0004, 0, 0, 0
L 299.5000, 875.0000, 7.0004, 295.5000, 875.0000, 15.6036, 0, 0, 0
L 295.5000, 875.0000, 15.6036, 299.5000, 860.0000, 12.0218, 0, 0, 0
L 299.5000, 860.0000, 12.0218, 297.5000, 857.0000, 22.5215, 0, 0, 0
L 297.5000, 857.0000, 22.5215, 293.5000, 868.0000, 24.2895, 0, 0, 0
L 293.5000, 868.0000, 24.2895, 294.5000, 874.0000, 24.0860, 0, 0, 0
L 294.5000, 874.0000, 24.0860, 289.5000, 881.0000, 22.7601, 0, 0, 0
L 289.5000, 881.0000, 22.7601, 275.5000, 894.0000, 23.8793, 0, 0, 0
L 275.5000, 894.0000, 23.8793, 261.5000, 900.0000, 24.1738, 0, 0, 0
L 261.5000, 900.0000, 24.1738, 232.5000, 893.0000, 23.9201, 0, 0, 0
L 232.5000, 893.0000, 23.9201, 216.5000, 893.0000, 23.0801, 0, 0, 0
L 216.5000, 893.0000, 23.0801, 193.5000, 900.0000, 24.0628, 0, 0, 0
L 193.5000, 900.0000, 24.0628, 178.5000, 893.0000, 23.6005, 0, 0, 0
L 178.5000, 893.0000, 23.6005, 161.5000, 874.0000, 23.9513, 0, 0, 0
L 161.5000, 874.0000, 23.9513, 156.5000, 873.0000, 13.5364, 0, 0, 0
L 156.5000, 873.0000, 13.5364, 152.5000, 867.0000, 7.3300, 0, 0, 0
L 152.5000, 867.0000, 7.3300, 151.5000, 856.0000, 22.2405, 0, 0, 0
L 151.5000, 856.0000, 22.2405, 149.5000, 860.0000, 8.2376, 0, 0, 0
L 149.5000, 860.0000, 8.2376, 106.5000, 860.0000, 6.9456, 0, 0, 0
L 106.5000, 860.0000, 6.9456, 92.5000, 855.0000, 8.1001, 0, 0, 0
L 92.5000, 855.0000, 8.1001, 70.5000, 856.0000, 8.3597, 0, 0, 0
L 70.5000, 856.0000, 8.3597, 72.5000, 851.0000, 22.9369, 0, 0, 0
L 72.5000, 851.0000, 22.9369, 66.5000, 843.0000, 22.1205, 0, 0, 0
L 66.5000, 843.0000, 22.1205, 60.5000, 845.0000, 8.1712, 0, 0, 0
L 60.5000, 845.0000, 8.1712, 57.5000, 828.0000, 7.0317, 0, 0, 0
L 57.5000, 828.0000, 7.0317, 63.5000, 812.0000, 8.6871, 0, 0, 0
L 63.5000, 812.0000, 8.6871, 63.5000, 803.0000, 8.0876, 0, 0, 0
L 63.5000, 803.0000, 8.0876, 57.5000, 787.0000, 12.0883, 0, 0, 0
L 57.5000, 787.0000, 12.0883, 72.5000, 764.0000, 21.9887, 0, 0, 0
L 72.5000, 764.0000, 21.9887, 59.5000, 741.0000, 22.0100, 0, 0, 0
L 59.5000, 741.0000, 22.0100, 70.5000, 704.0000, 22.7144, 0, 0, 0
